AOR: File number Received,,Avg APP-AOR:,83,min/max APP-AOR:,,7,334,"Cell colours automatically change (white = APP received, yellow = AOR received, light blue = DM/PPR received within 10 days, blue = DM received over 10 days ago)",,,,,,,,,,,
,,Avg APP-PPR:,435,min/max APP-PPR:,,181,1006,* Last 10 days' DM/PPR are highlighted in light color,,,,,,,,,,,
DM: ECAS update to Decision Made,,Avg AOR-PPR:,348,min/max AOR-PPR:,,10,924,* Insert the date in  YYYY-MM-DD  format,,,,,,,,,,,
PPR: Email for pass request,,"Hello Users, Please add or update your cases at  https://imtrackdb.firebaseapp.com going forward.",,,,,,,,,Link to discussion forum,,,,,,,,
USERNAME,"VISA
OFFICE",QSW TYPE,Nationality,Location,APP,AOR,Med. Req.,Re-med. Req.,Pre-arrival,DM,PPR,APP-AOR,"AOR-Now/
AOR-DM",AOR-PPR,APP-PPR,Change,Communication,,
Trustwithfaith,SYDNEY,,LBN,INLAND,2015-07-21,2015-11-09,,,,2016-04-19,2016-04-19,111,162,162,273,2019-09-20 at 12:50,,,
David83,OTTAWA,,,,2015-07-31,2015-11-25,,,,2016-06-10,2016-06-10,117,198,198,315,,,,
Tiffany_7,OTTAWA,,,,2015-08-13,2015-12-11,,,,2016-05-06,2016-05-06,120,147,147,267,,,,
,OTTAWA,,,,2015-09-01,2015-12-23,,,,2016-06-06,2016-06-06,113,166,166,279,,,,
BajanCanadian,OTTAWA,,,,2015-09-09,2015-12-23,,,,2016-06-10,2016-06-10,105,170,170,275,,,,
Hoback,OTTAWA,,,,2015-09-18,2016-01-04,,,,2016-11-06,2016-11-23,108,307,324,432,,,,
Allwanna,OTTAWA,,,,2015-10-05,2016-02-15,,,,2016-12-19,2016-12-19,133,308,308,441,,,,
charlottemontreal,OTTAWA,,,,2015-10-16,2016-02-28,,,,2016-11-24,2016-11-24,135,270,270,405,,,,
Mariam dal,OTTAWA,,,,2015-10-29,2016-02-29,,,,2016-12-25,2016-12-25,123,300,300,423,,,,
usefuluser,OTTAWA,,,,2015-11-02,2016-03-01,,,,2016-12-02,2016-12-02,120,276,276,396,,,,
Korla,OTTAWA,,,,2015-11-02,2016-03-02,,,,2016-12-02,2016-12-02,121,275,275,396,,,,
MR21,OTTAWA,,,,2015-11-03,2016-03-02,,,,2016-12-02,2016-12-02,120,275,275,395,,,,
